Symbol,Name Company,cafef_exchange,vietstock_exchange,nganh
MVN,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM – CTCP,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG THỦY
MVT,CÔNG TY CỔ PHẦN MAY VIỆT THỊNH,,,0
MVY,CÔNG TY CỔ PHẦN MÔI TRƯỜNG VÀ DỊCH VỤ ĐÔ THỊ VĨNH YÊN,UPCOM,OTC,"NGÀNH: DỊCH VỤ HỖ TRỢ (HÀNH CHÍNH, DU LỊCH, AN NINH, KIỂM ĐỊNH…) VÀ XỬ LÝ RÁC THẢI/ DỊCH VỤ QUẢN LÝ VÀ TÁI CHẾ CHẤT THẢI/ XỬ LÝ VÀ TIÊU HỦY CHẤT THẢI"
MWG,CÔNG TY CỔ PHẦN ĐẦU TƯ THẾ GIỚI DI ĐỘNG,HSX,HOSE,NGÀNH: BÁN LẺ/ CỬA HÀNG THIẾT BỊ ĐIỆN TỬ GIA ĐÌNH/ CỬA HÀNG MÁY TÍNH VÀ PHẦN MỀM
MXC,TRUNG TÂM NÔNG NGHIỆP MÙA XUÂN,UPCOM,OTC,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG RỪNG VÀ KHAI THÁC GỖ/ TRỒNG RỪNG LẤY GỖ
NAC,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG TỔNG HỢP,UPCOM,UPCOM,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ DỊCH VỤ THIẾT KẾ CHUYÊN BIỆT/ CÁC DỊCH VỤ THIẾT KẾ CHUYÊN BIỆT KHÁC"
NAF,CÔNG TY CỔ PHẦN NAFOODS GROUP,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ BẢO QUẢN RAU QUẢ VÀ SẢN XUẤT THỰC PHẨM CHUYÊN BIỆT
NAG,CÔNG TY CỔ PHẦN TẬP ĐOÀN NAGAKAWA,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT HỆ THỐNG THÔNG GIÓ, SƯỞI ẤM, ĐIỀU HÒA NHIỆT ĐỘ VÀ THIẾT BỊ LÀM LẠNH"
NAP,CÔNG TY CỔ PHẦN CẢNG NGHỆ TĨNH,HNX,HNX,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG THỦY
NAS,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG SÂN BAY NỘI BÀI,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG HÀNG KHÔNG
NAU,CÔNG TY CỔ PHẦN MÔI TRƯỜNG VÀ CÔNG TRÌNH ĐÔ THỊ NGHỆ AN,UPCOM,UPCOM,"NGÀNH: DỊCH VỤ HỖ TRỢ (HÀNH CHÍNH, DU LỊCH, AN NINH, KIỂM ĐỊNH…) VÀ XỬ LÝ RÁC THẢI/ DỊCH VỤ QUẢN LÝ VÀ TÁI CHẾ CHẤT THẢI/ THU GOM CHẤT THẢI"
NAV,CÔNG TY CỔ PHẦN NAM VIỆT,HSX,HOSE,"NGÀNH: BÁN LẺ/ KINH DOANH VẬT LIỆU XÂY DỰNG, TRANG THIẾT BỊ LÀM VƯỜN/ KINH DOANH VẬT LIỆU XÂY DỰNG VÀ VẬT TƯ LIÊN QUAN"
NAW,CÔNG TY CỔ PHẦN CẤP NƯỚC NGHỆ AN,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NBB,CÔNG TY CỔ PHẦN ĐẦU TƯ NĂM BẢY BẢY,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NBC,CÔNG TY CỔ PHẦN THAN NÚI BÉO - VINACOMIN,HNX,HNX,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC THAN
NBE,CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC,UPCOM,UPCOM,"NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÔNG NGHIỆP XUẤT BẢN - NGOẠI TRỪ INTERNET/ ĐƠN VỊ XUẤT BẢN BÁO, ẤN PHẨM, SÁCH VÀ DANH MỤC"
NBN,CTCP XÂY DỰNG CÔNG TRÌNH 545,,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ CỬA, CAO ỐC"
NBP,CÔNG TY CỔ PHẦN NHIỆT ĐIỆN NINH BÌNH,HNX,HNX,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
NBR,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT NGHĨA BÌNH,UPCOM,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG SẮT
NBS,CTCP BẾN XE NGHỆ AN,UPCOM,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG BỘ
NBT,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC BẾN TRE,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NBW,CÔNG TY CỔ PHẦN CẤP NƯỚC NHÀ BÈ,HNX,HNX,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NCG,CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA CONSUMER,OTC,OTC,0
NCP,CÔNG TY CỔ PHẦN NHIỆT ĐIỆN CẨM PHẢ - TKV,UPCOM,KHÁC,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ TRUYỀN TẢI, KIỂM SOÁT VÀ PHÂN PHỐI ĐIỆN "
NCS,CÔNG TY CỔ PHẦN SUẤT ĂN HÀNG KHÔNG NỘI BÀI,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG HÀNG KHÔNG
NCT,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI,HSX,HOSE,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG HÀNG KHÔNG
ND2,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐIỆN MIỀN BẮC 2,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG CÔNG TRÌNH KHÁC"
NDC,CÔNG TY CỔ PHẦN NAM DƯỢC,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
NDF,CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM NÔNG SẢN XUẤT KHẨU NAM ĐỊNH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ GIẾT MỔ VÀ CHẾ BIẾN THỊT ĐỘNG VẬT
NDN,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NHÀ ĐÀ NẴNG,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NDP,CÔNG TY CỔ PHẦN DƯỢC PHẨM 2/9,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
NDT,TỔNG CÔNG TY CỔ PHẦN DỆT MAY NAM ĐỊNH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM DỆT/ SẢN XUẤT CÁC SẢN PHẨM DỆT DÙNG TRONG NHÀ
NDW,CÔNG TY CỔ PHẦN CẤP NƯỚC NAM ĐỊNH,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NDX,CÔNG TY CỔ PHẦN XÂY LẮP PHÁT TRIỂN NHÀ ĐÀ NẴNG,HNX,HNX,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
NED,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐIỆN TÂY BẮC,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
NET,CÔNG TY CỔ PHẦN BỘT GIẶT NET,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT XÀ PHÒNG, CHẤT TẨY RỬA"
NFC,CÔNG TY CỔ PHẦN PHÂN LÂN NINH BÌNH,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC TRỪ SÂU, PHÂN BÓN VÀ CÁC LOẠI HÓA CHẤT NÔNG NGHIỆP "
NGC,CTCP CHẾ BIẾN THỦY SẢN XUẤT KHẨU NGÔ QUYỀN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
NHA,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ NAM HÀ NỘI,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NHC,CÔNG TY CỔ PHẦN GẠCH NGÓI NHỊ HIỆP,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT CÁC SẢN PHẨM TỪ ĐẤT SÉT VÀ VẬT LIỆU CHỊU NHIỆT
NHG,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC TỈNH HÀ GIANG,,,0
NHH,CÔNG TY CỔ PHẦN NHỰA HÀ NỘI,HSX,HOSE,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ, MÁY MÓC CÔNG NGHIỆP"
NHN,CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐÔ THỊ NAM HÀ NỘI,UPCOM,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CÁC HOẠT ĐỘNG LIÊN QUAN ĐẾN BẤT ĐỘNG SẢN
NHP,CÔNG TY CỔ PHẦN SẢN XUẤT XUẤT NHẬP KHẨU NHP,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
NHS,CÔNG TY CỔ PHẦN ĐƯỜNG NINH HÒA,HSX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT ĐƯỜNG VÀ BÁNH KẸO
NHT,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI NAM HOA,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM GỖ/ SẢN XUẤT CÁC SẢN PHẨM GỖ KHÁC
NHV,CÔNG TY CỔ PHẦN SỨC KHỎE HỒI SINH VIỆT NAM,UPCOM,UPCOM,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN HÓA CHẤT VÀ CÁC SẢN PHẨM LIÊN QUAN
NHW,CÔNG TY CỔ PHẦN NGÔ HAN,HSX,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM ĐIỆN TỬ, VI TÍNH/ SẢN XUẤT LINH KIỆN BÁN DẪN VÀ CÁC LINH KIỆN ĐIỆN TỬ KHÁC"
NIC,CÔNG TY CỔ PHẦN ĐẦU TƯ NHƠN TRẠCH,,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ CỬA, CAO ỐC"
NIS,CÔNG TY CỔ PHẦN DỊCH VỤ HẠ TẦNG MẠNG,HNX,OTC,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ VIỄN THÔNG/ VIỄN THÔNG
NJC,CÔNG TY CỔ PHẦN MAY NAM ĐỊNH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
NKD,CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM KINH ĐÔ MIỀN BẮC,HSX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT BÁNH VÀ BÁNH MÌ CÁC LOẠI
NKG,CTCP THÉP NAM KIM,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM KIM LOẠI CƠ BẢN/ SẢN XUẤT SẢN PHẨM THÉP TỪ NGUYÊN LIỆU THU MUA
NLC,CÔNG TY CỔ PHẦN THUỶ ĐIỆN NÀ LƠI,HNX,OTC,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
NLG,CÔNG TY CỔ PHẦN ĐẦU TƯ NAM LONG,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NLS,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC LẠNG SƠN,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NMK,CÔNG TY CỔ PHẦN XÂY DỰNG CÔNG TRÌNH 510,UPCOM,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG CÔNG TRÌNH KHÁC"
NNB,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC NINH BÌNH,UPCOM,OTC,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NNC,CÔNG TY CỔ PHẦN ĐÁ NÚI NHỎ,HSX,HOSE,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC ĐÁ VÀ KHOÁNG SẢN PHI KIM
NNG,CÔNG TY CỔ PHẦN CÔNG NGHIỆP - DỊCH VỤ - THƯƠNG MẠI NGỌC NGHĨA,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
NNQ,TRUNG TÂM GIỐNG NÔNG – LÂM NGHIỆP QUẢNG NAM (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN GIỐNG NÔNG NGHIỆP QUẢNG NAM),UPCOM,OTC,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ HOẠT ĐỘNG HỖ TRỢ CHO NÔNG LÂM NGHIỆP/ CÁC HOẠT ĐỘNG HỖ TRỢ CHO TRỒNG TRỌT
NNT,CTCP CẤP NƯỚC NINH THUẬN,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NO1,CÔNG TY CỔ PHẦN TẬP ĐOÀN 911,,OTC,0
NOS,CÔNG TY CỔ PHẦN VẬN TẢI BIỂN VÀ THƯƠNG MẠI PHƯƠNG ĐÔNG,UPCOM,UPCOM,"NGÀNH: VẬN TẢI VÀ KHO BÃI/ VẬN TẢI ĐƯỜNG THỦY/ VẬN TẢI ĐƯỜNG BIỂN, VEN BIỂN, HỒ LỚN"
NPH,CÔNG TY CỔ PHẦN KHÁCH SẠN BƯU ĐIỆN NHA TRANG,UPCOM,OTC,NGÀNH: DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG/ KHÁCH SẠN VÀ PHÒNG Ở/ CHỖ Ở CHO KHÁCH DU LỊCH
NPM,CÔNG TY TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,OTC,,0
NPS,CÔNG TY CỔ PHẦN MAY PHÚ THỊNH – NHÀ BÈ,UPCOM,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
NQB,CÔNG TY CỔ PHẦN CẤP NƯỚC QUẢNG BÌNH,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NQN,CÔNG TY CỔ PHẦN NƯỚC SẠCH QUẢNG NINH,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NQT,CÔNG TY CỔ PHẦN NƯỚC SẠCH QUẢNG TRỊ,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NRC,CÔNG TY CỔ PHẦN TẬP ĐOÀN DANH KHÔI,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / ĐẠI LÝ VÀ MÔI GIỚI BẤT ĐỘNG SẢN
NS2,CÔNG TY CỔ PHẦN NƯỚC SẠCH SỐ 2 HÀ NỘI,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NS3,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH NƯỚC SẠCH SỐ 3 HÀ NỘI,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NSC,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,HSX,HOSE,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG TRỌT/ TRỒNG TRỌT CÁC LOẠI CÂY KHÁC
NSG,CÔNG TY CỔ PHẦN NHỰA SÀI GÒN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
NSH,CÔNG TY CỔ PHẦN NHÔM SÔNG HỒNG,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM KIM LOẠI CƠ BẢN/ SẢN XUẤT VÀ CHẾ BIẾN NHÔM
NSL,CÔNG TY CỔ PHẦN CẤP NƯỚC SƠN LA,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NSN,CÔNG TY CỔ PHẦN XÂY DỰNG 565,HNX,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG CÔNG TRÌNH KHÁC"
NSP,CÔNG TY CỔ PHẦN NHỰA SAM PHÚ,UPCOM,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
NSS,CÔNG TY CỔ PHẦN NÔNG SÚC SẢN ĐỒNG NAI,UPCOM,UPCOM,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ CHĂN NUÔI/ CHĂN NUÔI HEO 
NST,CÔNG TY CỔ PHẦN NGÂN SƠN,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT ĐỒ UỐNG VÀ THUỐC LÁ/ SẢN XUẤT THUỐC LÁ
NT2,CTCP ĐIỆN LỰC DẦU KHÍ NHƠN TRẠCH 2,HSX,HOSE,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
NTB,CTCP ĐẦU TƯ XÂY DỰNG VÀ KHAI THÁC CÔNG TRÌNH GIAO THÔNG 584,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
NTC,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP NAM TÂN UYÊN,UPCOM,UPCOM,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CHO THUÊ BẤT ĐỘNG SẢN
NTF,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ NGHỆ AN,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
NTG,CÔNG TY CỔ PHẦN VẬN TẢI THỦY BỘ KIÊN GIANG,,,0
NTH,CÔNG TY CỔ PHẦN THỦY ĐIỆN NƯỚC TRONG,HNX,HNX,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
NTL,CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐÔ THỊ TỪ LIÊM,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NTP,CÔNG TY CỔ PHẦN NHỰA THIẾU NIÊN TIỀN PHONG,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
NTR,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT NGHỆ TĨNH,UPCOM,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ CÁC HOẠT ĐỘNG HỖ TRỢ VẬN TẢI KHÁC
NTS,CÔNG TY CỔ PHẦN NỘI THẤT SHINEC,,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM ĐIỆN TỬ, VI TÍNH/ SẢN XUẤT CÁC SẢN PHẨM ĐIỆN TỬ, VI TÍNH"
NTT,CÔNG TY CỔ PHẦN DỆT – MAY NHA TRANG,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT SỢI, VẢI/ SẢN XUẤT SỢI, VẢI THÀNH PHẨM"
NTW,CÔNG TY CỔ PHẦN CẤP NƯỚC NHƠN TRẠCH,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
NUE,CÔNG TY CỔ PHẦN MÔI TRƯỜNG ĐÔ THỊ NHA TRANG,UPCOM,UPCOM,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ DỊCH VỤ TƯ VẤN QUẢN LÝ, KHOA HỌC VÀ KỸ THUẬT/ DỊCH VỤ TƯ VẤN MÔI TRƯỜNG"
NVC,CÔNG TY CỔ PHẦN NAM VANG,HNX,OTC,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN KIM LOẠI VÀ KHOÁNG SẢN (TRỪ DẦU KHÍ)
NVL,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
NVN,CÔNG TY CỔ PHẦN NHÀ VIỆT NAM,HSX,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CÁC HOẠT ĐỘNG LIÊN QUAN ĐẾN BẤT ĐỘNG SẢN
